Range,Count
0 to 1000,  348902
1001 to 2000,   47650
2001 to 3000,   20319
3001 to 4000,   11556
4001 to 5000,    7105
5001 to 6000,    4949
6001 to 7000,    3636
7001 to 8000,    2648
8001 to 9000,    2112
9001 to 10000,    1631
10000~,   18119
